EL,ER,SL,SR
0,45.99930556,49,49.99930556
14,43.99930556,44,54.99930556
39,49.375,53,53.5
0,35.99930556,35,35.99930556
0,43.99930556,0,43.99930556
14,33.99930556,33,33.99930556
0,50.70833333,50.70833333,50.99930556
0,36.99930556,45,45.99930556
0,48.99930556,54,54.99930556
0,51.99930556,51,51.99930556
0,45.99930556,0,45.99930556
0,49.99930556,49,49.99930556
0,53.99930556,53,53.99930556
0,52.99930556,53,53.99930556
0,39.99930556,39,43.99930556
0,50.99930556,50,50.99930556
0,51.56944444,51,51.82916667
0,49.99930556,0,49.99930556
0,48.99930556,48,48.99930556
0,40.99930556,40,40.99930556
40,48.99930556,48,48.99930556
0,49.50486111,50,50.99930556
0,44.99930556,44,44.99930556
0,53.99930556,53,53.99930556
0,53.99930556,53,53.99930556
0,56.07430556,0,56.07430556
0,50.99930556,0,50.99930556
0,51.99930556,53,53.99930556
0,50.99930556,50,50.99930556
40,44.99930556,40,44.99930556
0,52.99930556,52,53.99930556
0,53.375,0,53.99930556
0,52,55.5,55.75
0,53.75,55.5,55.75
28,33.99930556,33,33.99930556
0,43.99930556,47,47.99930556
43,47.99930556,50,50.99930556
0,40.99930556,40,40.99930556
0,33.99930556,34,34.99930556
0,45.99930556,45,45.99930556
0,41.99930556,41,41.99930556
0,47.99930556,0,47.99930556
0,45.99930556,46,46.99930556
0,52.66666667,0,52.66666667
19,39.99930556,40,40.99930556
0,32.99930556,0,40.99930556
0,41.99930556,41,41.99930556
0,47.99930556,0,50.99930556
0,50.99930556,52,52.99930556
46,50.99930556,50,50.99930556
0,56.31875,0,56.31875
0,56.31875,0,56.31875
0,56.31875,0,56.31875
50,52.91666667,53,55.49791667
50,52.91666667,53,55.49791667
50,52.91666667,53,55.49791667
33,34.99930556,39,39.99930556
38,46.99930556,46,46.99930556
0,44.99930556,44,44.99930556
42,45.99930556,49,49.99930556
0,49.99930556,0,49.99930556
0,42.99930556,46.5,46.75
0,48.99930556,0,49.99930556
0,40.99930556,0,40.99930556
0,42.99930556,0,42.99930556
0,49.99930556,0,49.99930556
41,47.99930556,48,48.99930556
0,52.99930556,53,53.99930556
0,51.99930556,0,51.99930556
0,43.99930556,44,44.99930556
0,53.99930556,55,55.99930556
39,48.99930556,39,55.99930556
0,51.79097222,51.5,51.79097222
0,52.91666667,0,53.77083333
0,53.99930556,53,53.99930556
0,52.99930556,0,52.99930556
0,56.46319444,0,56.46319444
43,52.99930556,52,52.99930556
0,48.99930556,51.70833333,51.99930556
0,52.99930556,53,53.99930556
0,45,51,51.625
0,51,52.64583333,52.6875
0,50.99930556,51,51.99930556
51,51.99930556,55,56.99930556
0,48.99930556,54,54.99930556
0,49.99930556,55,55.99930556
0,53.99930556,54,54.99930556
38,44.99930556,44,44.99930556
0,49.99930556,55,55.99930556
0,53.16458333,55,55.99930556
0,58.80138889,0,58.80138889
40,41.99930556,44,44.99930556
42,47.99930556,49,49.99930556
43,47.99930556,43,47.99930556
0,55.99930556,55,55.99930556
0,52.99930556,55,55.99930556
0,52.99930556,55,55.99930556
50,55.99930556,56,56.99930556
0,81.8125,0,81.8125
0,54.99930556,55,61.70833333
0,53.99930556,56,56.99930556
0,55.99930556,55,55.99930556
0,55.99930556,55,55.99930556
0,50.99930556,52,52.99930556
0,53.99930556,53,53.99930556
0,53.99930556,54,54.99930556
0,52.99930556,55.5,55.99930556
0,50.99930556,52,52.5
0,59.99930556,59.70833333,59.99930556
0,59.99930556,59.70833333,59.99930556
0,51.99930556,51,56.99930556
42,50.99930556,50,50.99930556
42,56.99930556,57,57.99930556
0,42.99930556,42,42.99930556
0,59.35416667,0,59.35416667
23,43.99930556,55,56.99930556
0,50.99930556,54,54.99930556
46,52.70833333,53,53.99930556
47,50.99930556,50,50.99930556
0,54.99930556,56,56.99930556
52,52.99930556,52,57.99930556
0,53.99930556,56,56.99930556
54,60.99930556,54,62.63611111
0,62.99930556,64,64.99930556
0,52.99930556,53,53.99930556
0,51.99930556,53,53.99930556
70,82.99930556,84,85.99930556
0,48.99930556,48.70833333,48.99930556
0,48.99930556,49,49.99930556
0,53.99930556,54,54.99930556
49,52.99930556,53.70833333,53.99930556
0,51.99930556,54,54.99930556
0,47.99930556,49,49.99930556
0,45.99930556,46,46.99930556
0,48.99930556,50,50.99930556
0,43.99930556,50,50.99930556
0,43.99930556,48,48.99930556
0,40.99930556,48,48.99930556
0,47.99305556,48,48.99930556
45,50.99930556,50,50.99930556
0,49.99930556,49,53.99930556
42,45.70763889,50,50.99930556
42,44.99930556,46,46.99930556
45,47.99930556,50,50.99930556
0,40.99930556,40,40.99930556
43,48.99930556,48,48.99930556
43,48.99930556,48,48.99930556
0,50.99930556,50,50.99930556
0,51.99930556,51,51.99930556
0,51.99930556,51,51.99930556
0,48.99930556,52,52.99930556
0,48.99930556,52,52.99930556
49,53.99930556,53,53.99930556
0,52.99930556,53,53.99930556
0,52.99930556,54,54.99930556
41,44.99930556,49,49.99930556
41,49.99930556,50,50.99930556
40,42.99930556,44,44.5
0,45.99930556,46,46.99930556
0,48.99930556,49,49.99930556
41,52.99930556,52,52.99930556
49,49.99930556,55,55.99930556
0,49.99930556,0,55.97916667
0,53.99930556,55,55.99930556
48,50.99930556,54,54.99930556
0,50.99930556,51,51.99930556
0,37.99930556,44,44.99930556
0,53.99930556,53,53.99930556
39,50.99930556,50,50.99930556
0,48.99930556,51,51.99930556
0,50.99930556,51,51.99930556
0,54.99930556,57,57.99930556
0,56.99930556,56,56.99930556
0,52.875,58,58.99930556
0,56.99930556,58,58.99930556
0,60.99930556,60,60.99930556
0,52.99930556,53,53.99930556
0,60.99930556,60,60.99930556
0,59.95833333,60,60.99930556
46,53.99930556,53,59.99930556
0,48.99930556,53,53.99930556
